Questions,Answers
How can I change the shareholders of my company?,"Changing the shareholders of your company is a significant event that involves legal and administrative steps. Here's a straightforward guide on how to go about it:
Steps to Change Shareholders in Malaysia
1. Review Constitution: Before taking any action, check your company's Constitution for any provisions or restrictions related to changing shareholders.
2. Agreement to Transfer Shares: The existing shareholder who wishes to transfer shares and the person who will receive the shares must enter into a Share Transfer Agreement. This outlines the terms and conditions of the transfer.
3. Resolution: A resolution approving the change in shareholders. The resolution should specify the details of the transfer, including the number of shares and the names of the parties involved.
4. Section 105: Complete and sign Section 105, which is the standard form for the transfer of shares in Malaysia. Both the transferor and transferee must sign this form.
5. Submit to LHDN: Submit to LHDN for approval, stamp duty will be calculated by the LHDN. Once LHDN approved, the transferee shall make the stamp duty within 30 days from the date of approval. 
6. Section 51: To lodge the Section 51 to SSM. 
7. Update Register of Members: Update your company's internal Register of Members to reflect the change in shareholding.
8. Issue Share Certificates (optional): Issue new share certificates to the new shareholder and cancel the old ones held by the outgoing shareholder. 
9. Notify Stakeholders: While not mandatory, it's good practice to inform all stakeholders, such as creditors and employees, about the change in shareholders.
Important Points to Note
●      Ensure that the change in shareholders is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Make sure you have the financial resources to support the change, especially if the shares are being sold at a premium.
By following these steps, you can successfully change the shareholders of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How long does the process of changing shareholders take?,"The time required to change shareholders in a company in Malaysia can vary based on several factors, such as the speed of internal decision-making and any regulatory requirements. Here's a general idea of the timeline:
Typical Timeframe for Changing Shareholders in Malaysia
1. Agreement to Transfer Shares: 1 to 7 days - Drafting and signing the Share Transfer Agreement can take up to a week, depending on the complexity and negotiations involved.
2. Resolutions: 1 to 2 weeks - Scheduling and conducting a board meeting to approve the change in shareholders usually takes this long, especially if you need to adhere to notice periods as per your company's Articles of Association.
3. Completion of Section 105: 7 to 14 days – To get LHDN to approve and signing Section 105 can be done relatively quickly once both parties agree to the terms.
4. Update Register of Members Section 105: Immediate to 1 day - This is an internal process and can be done as soon as the board approves the change in shareholders.
5. Issue Share Certificates (Optional): 1 to 3 days - Issuing new share certificates to the new shareholder and canceling the old ones can take a few days.
6. Notify Stakeholders: 1 to 7 days - While not mandatory, it's good practice to inform all stakeholders, such as creditors and employees, about the change in shareholders. The time for this can vary based on your company's communication methods.
Overall Time Estimate
In a best-case scenario, you could potentially complete the process in as little as one week. However, it's more realistic to expect the entire process to take between 2 to 3 weeks, especially if there are negotiations and notice periods to consider.
I hope this gives you a good understanding of the time involved in changing shareholders for a company in Malaysia. If you have more questions, feel free to ask!"
How can I change the name of my company?,"Changing the name of your company is a significant decision that involves both internal and regulatory steps. Here's a simplified guide on how to change your company name in Malaysia:
Steps to Change Company Name in Malaysia
1. Check Availability: Before anything else, make sure the new name you're considering is available and not already registered with the Companies Commission of Malaysia (SSM).
2. Resolution: A resolution approving the name change by director and shareholders. The resolution should specify the current name and the new name you wish to adopt.
3. Shareholder Approval: In most cases, you'll need the approval of the shareholders for a name change. This is usually done through an Extraordinary General Meeting (EGM) or an Annual General Meeting (AGM)/ members written resolution.
4. Submit to SSM: Once you have the necessary approvals, you'll need to submit a name change application to SSM, along with the appropriate fees.
5. Section 27: Complete and submit Section 27, which is the Request for Availability of Name form, to SSM.
6. Section 28: After SSM approves the name, you'll need to submit Section 28, which is the Notice of Resolution Regarding Change of Name.
7. Payment of Fees: There will be a fee for filing these forms with SSM. The amount depends on the specific circumstances of your company.
8. Receive Certificate: Once SSM approves the name change and the fees are paid, you'll receive a new Certificate of Incorporation on Change of Name.
9. Update Records: Finally, update all your company's internal and external records, including bank accounts, contracts, and business licenses, to reflect the new name.
Important Points to Note
●      Ensure that the name change is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Make sure to update all legal documents, contracts, and digital assets like websites and social media accounts.
●      Section 30 of the Companies Act 2016
Where a company changed its name under section 28 or 29, the former name of the Company shall appear beneath its present registered name for a period of not less than twelve (12) months from the date of the change i.e. 24 July 2024.
By following these steps, you can successfully change the name of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How long does the process of changing the name of my company take?,"The time required to change the name of your company in Malaysia can vary based on several factors, such as internal decision-making speed and regulatory processing times. Here's a general idea of the timeline:
Typical Timeframe for Changing Company Name in Malaysia
1. Check Availability: 1 to 3 days - Checking the availability of the new name with the Companies Commission of Malaysia (SSM) usually takes a few days.
2. Resolution: 1 to 2 weeks – Circulate the resolution to Director and shareholders to sign within 1 to 2 weeks - If shareholder approval is required, you'll need to schedule an Extraordinary General Meeting (EGM) or include the matter in the Annual General Meeting (AGM)/member written resolution. This can also take up to two weeks, depending on notice requirements.
3. Submission of Section 27: 1 to 3 working days - After the board resolution and any required shareholder approvals, you'll need to submit Section 27 to SSM.
4. SSM Approval: 1 to 2 weeks - SSM usually takes this time to approve the name change and issue a new Certificate of Incorporation on Change of Name.
5. Submission of Section 28: 1 to 3 working days - After receiving SSM's approval, you'll need to submit Section 28 to finalize the name change.
6. Update Records: 1 to 7 days - Updating your company's internal and external records, like bank accounts and business licenses, can take up to a week.
Overall Time Estimate
In a best-case scenario, you could potentially complete the process in as little as 2 to 3 weeks. However, it's more realistic to expect the entire process to take between 4 to 6 weeks, especially if shareholder approval is needed and if there are notice periods to consider.
I hope this gives you a good understanding of the time involved in changing the name of a company in Malaysia. If you have more questions, feel free to ask!"
How can I change the business address of my company?,"Changing the business address of your company is a routine administrative task, but it's important to do it correctly to ensure compliance with regulations. Here's a simple guide on how to change your company's business address in Malaysia:
Steps to Change Business Address in Malaysia
1. Board Meeting: Schedule a board meeting to discuss and approve the change in the business address. Make sure to send out notices to all directors as per your company's Constitution.
2. Resolution: During the board meeting, pass a resolution approving the change in the business address. The resolution should specify the current address and the new address you wish to adopt.
3. Practice Directive 2/2017: After obtaining the necessary approvals, you'll need to submit Practice Directive 2/2017 to the Companies Commission of Malaysia (SSM). This form outlines the change in the registered address of the company.
4. Update Records: Update all your company's internal records to reflect the new business address. This includes updating the company's letterhead, invoices, and other official documents.
5. Notify Stakeholders: While not mandatory, it's good practice to inform all stakeholders, such as clients, suppliers, and banks, about the change in the business address.
6. Update Licenses and Permits: Don't forget to update your business address on all relevant business licenses, permits, and other regulatory documents.
Important Points to Note
●      Ensure that the change in the business address is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Make sure to update all digital assets like websites and social media accounts to reflect the new address.
By following these steps, you can successfully change the business address of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I change the financial record address of my company?,"Changing the address where your company's financial records are kept is an important administrative task that must be done in compliance with regulations. Here's a straightforward guide on how to change the financial record address of your company in Malaysia:
Steps to Change Financial Record Address in Malaysia
1. Resolution: Pass a resolution approving the change in the financial record address. The resolution should specify the current address and the new address where the records will be kept.
2. Section 47: After obtaining the necessary approvals, you'll need to submit Section 47 to the Companies Commission of Malaysia (SSM). This form outlines the change in the address where the company's financial records are kept.
3. Update Records: Update all your company's internal records to reflect the new financial record address. This includes updating any internal databases or systems where this address is recorded.
4. Notify Stakeholders: While not mandatory, it's good practice to inform all relevant stakeholders, such as auditors, financial institutions, and regulatory bodies, about the change in the financial record address.
5. Compliance Check: Ensure that the new location where the financial records will be kept complies with any requirements set forth in the Companies Act 2016, especially regarding accessibility and security.
Important Points to Note
●      Make sure the change in the financial record address is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Ensure that the new location is secure and suitable for storing sensitive financial records.
By following these steps, you can successfully change the financial record address of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How long does it take to update the changes of addresses of my company?,"The time required to update the changes of addresses for your company in Malaysia can vary based on several factors, such as internal decision-making and regulatory processing times. Here's a general idea of the timeline:
Typical Timeframe for Updating Address Changes in Malaysia
1. Resolution: 1 to 2 weeks – circulation of Directors resolution, especially if you need to adhere to notice periods as per your company's Constitution.
2. Submission of Section 46: 1 to 3 working days - After the board resolution, you'll need to submit Section 46  to the Companies Commission of Malaysia (SSM).
3. SSM Processing: 1 to 3 working days - SSM usually takes this time to process and update the records.
4. Update Internal Records: 1 to 3 days - Updating your company's internal records, like databases or systems where the address is recorded, can take a few days.
5. Notify Stakeholders: 1 to 7 days - While not mandatory, it's good practice to inform all stakeholders, such as clients, suppliers, and banks, about the change in address. The time for this can vary based on your company's communication methods.
6. Update Licenses and Permits: 1 to 2 weeks - If the address change affects business licenses or permits, updating these can take additional time.
Overall Time Estimate
In a best-case scenario, you could potentially complete the process in as little as one week. However, it's more realistic to expect the entire process to take between 2 to 4 weeks, especially if there are multiple types of addresses to change (e.g., business address, financial record address) and if there are notice periods to consider.
I hope this gives you a good understanding of the time involved in updating the addresses for a company in Malaysia. If you have more questions, feel free to ask!"
How can I fix the financial year end of my company?,"Fixing or changing the financial year-end of your company is an important decision that has implications for financial reporting and tax filing. Here's a straightforward guide on how to fix the financial year-end of your company in Malaysia:
Steps to Fix Financial Year-End in Malaysia
1. Resolution: Pass a resolution approving the change in the financial year-end. The resolution should specify the current financial year-end date and the new date you wish to adopt.
2. Notify Stakeholders: While not mandatory, it's good practice to inform all relevant stakeholders, such as auditors, financial institutions, and regulatory bodies, about the change in the financial year-end.
3. Update Records: Update all your company's internal records to reflect the new financial year-end. This includes updating any internal databases or systems where this information is recorded.
Important Points to Note
●      Make sure the change in the financial year-end is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Consider the impact of the change on your tax obligations and financial reporting schedules.
By following these steps, you can successfully fix or change the financial year-end of your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I appoint an auditor for my company?,"Appointing an auditor is a crucial step for your company's financial management and compliance with regulations. Here's a simple guide on how to appoint an auditor for your company in Malaysia:
Steps to Appoint an Auditor in Malaysia
1. Identify Candidates: Start by identifying qualified auditors who are registered with the Malaysian Institute of Accountants (MIA).
2. Resolution: Pass a resolution approving the appointment of the auditor. The resolution should specify the auditor's name, firm, and terms of engagement.
3. Engagement Letter: Sign an engagement letter with the auditor, outlining the scope of work, fees, and other terms.
4. Letter of consent from auditor: to receive a copy of the letter from auditor 
Important Points to Note
●      Ensure that the auditor is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Make sure to review the terms of engagement carefully, especially concerning fees and the scope of work.
●       
By following these steps, you can successfully appoint an auditor for your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
How can I appoint a tax agent for my company?,"Appointing a tax agent is a crucial step for your company's financial management and compliance with regulations. Here's a simple guide on how to appoint a tax agent for your company in Malaysia:
Steps to Appoint a Tax Agent in Malaysia
1. Identify Candidates: Look for qualified tax agents who are licensed by the Ministry of Finance Malaysia.
2. Resolution: Pass a board resolution approving the appointment of the tax agent, specifying their name, firm, and terms of engagement.
3. Engagement Letter: Sign an engagement letter with the tax agent, which outlines the scope of work, fees, and other terms.
4. Notify Authorities: While there's no specific form to submit to SSM for a tax agent, it's good practice to inform the Inland Revenue Board of Malaysia (LHDN) about your appointed tax agent, especially if they will be representing you in tax matters.
Important Points to Note
●      Ensure that the tax agent is in compliance with the Companies Act 2016 and any other relevant regulations.
●      Make sure to review the terms of engagement carefully, especially concerning fees and the scope of work.
By following these steps, you can successfully appoint a tax agent for your company in Malaysia. If you have more questions or need further clarification, feel free to ask!"
What is annual return?,"An annual return is a mandatory document that a company in Malaysia must submit to the Companies Commission of Malaysia (SSM) every year. It provides a snapshot of key information about the company as of a specific date, usually the anniversary of the company's incorporation.
What Does an Annual Return Include?
The annual return typically includes the following information:
1. Company Name and Registration Number: Basic identification details of the company.
2. Registered Office Address: The official address where legal documents can be served.
3. Business Address: The address where the company conducts its operations.
4. Details of Directors and Company Secretary: Names, identification numbers, and addresses.
5. Shareholder Information: Details about the company's shareholders, including their names and the number of shares held.
6. Share Capital: Information about the company's issued and paid-up capital.
Why is it Important?
1. Legal Requirement: Filing an annual return is a legal requirement under the Companies Act 2016. Failure to do so can result in penalties and other legal consequences.
2. Transparency: It provides transparency about the company's structure and operations to the authorities, shareholders, and the public.
3. Compliance: It ensures that the company's information registered with SSM is accurate and up-to-date.
How to File an Annual Return
1. Prepare Information: Gather all the necessary information as outlined above.
2. Board Approval: Obtain board approval for the contents of the annual return.
3. Submission: Submit the annual return to SSM, usually within 30 days of the anniversary of the company’s incorporation. This is typically done electronically through the SSM e-Info portal.
4. Payment of Fees: There is a filing fee that varies depending on the company's share capital.
By regularly filing your annual return, you ensure that your company remains in compliance with Malaysian law. If you have more questions or need further clarification, feel free to ask!"
What is beneficial ownership and how does it affect my company?,"Beneficial ownership refers to the natural person(s) who ultimately own or control a company, even if they do not hold the shares directly. In other words, a beneficial owner is someone who enjoys the benefits of ownership without necessarily being named on the legal documents as the owner.
How Does Beneficial Ownership Affect Your Company?
1. Transparency and Compliance: Understanding who the beneficial owners are is crucial for transparency and compliance with anti-money laundering (AML) and counter-financing of terrorism (CFT) regulations. In Malaysia, companies are required to identify and verify their beneficial owners and maintain this information in a register.
2. Legal Obligations: Failure to disclose beneficial ownership information can result in penalties and legal consequences under the Companies Act 2016 and AML/CFT regulations.
3. Due Diligence: Financial institutions, investors, and other stakeholders may require information on beneficial ownership as part of their due diligence processes. This can affect your company's ability to secure financing or enter into business partnerships.
4. Tax Implications: Understanding beneficial ownership can also have tax implications. For example, the Inland Revenue Board of Malaysia (LHDN) may look at beneficial ownership to determine tax liabilities.
5. Corporate Governance: Knowing who the beneficial owners are can help in establishing clear lines of accountability and governance within the company.
Steps to Identify and Record Beneficial Ownership
1. Conduct an Internal Review: Identify all individuals who have significant control or ownership over the company. This usually means anyone who holds more than 25% of the shares or voting rights.
2. Verify Information: Take reasonable steps to verify the identity of the beneficial owners. This could involve checking official documents like passports or national IDs.
3. Maintain a Register: Keep a register of beneficial owners, including their names, identification details, and the nature of their ownership or control.
4. Regular Updates: Update the register whenever there's a change in beneficial ownership or if you discover that the information is incorrect.
5. Report to Authorities: Depending on the regulatory requirements, you may need to report this information to authorities like SSM or LHDN.
By understanding and properly managing beneficial ownership, you ensure that your company is in compliance with legal requirements and best practices in corporate governance. If you have more questions or need further clarification, feel free to ask!"
